No,Name,Net worth ( USD ),Age,Nationality,Source ( s ) of wealth
1,Bill Gates,$ 52.0 billion,50,United States,Microsoft
2,Warren Buffett,$ 42.0 billion,75,United States,Berkshire Hathaway
3,Carlos Slim,$ 30.0 billion,66,Mexico,"América Móvil , Grupo Carso"
4,Ingvar Kamprad,$ 28.0 billion,79,Sweden,IKEA
5,Lakshmi Mittal,$ 23.5 billion,55,India,Mittal Steel Company
6,Paul Allen,$ 22.0 billion,53,United States,Microsoft
7,Bernard Arnault,$ 21.5 billion,57,France,LVMH Moët Hennessy • Louis Vuitton
8,Al-Waleed bin Talal,$ 20.0 billion,49,Saudi Arabia,Kingdom Holding Company
9,Kenneth Thomson,$ 19.6 billion,82,Canada,The Thomson Corporation
10,Li Ka-shing,$ 18.8 billion,77,Hong Kong,"Cheung Kong Group , Hutchison Whampoa"
